id,name,status,created_at,closed_at
1822856,Group Product Manager,open,2021-05-13 14:38:42.689000,
1730696,Lending Product Manager,open,2021-02-23 17:36:47.987000,
1268899,Growth Product Manager,closed,2020-01-21 08:04:28.348000,2021-05-10 12:46:12.859000
1760355,Senior Software Developer - IOS,open,2021-03-19 11:53:54.385000,
1839260,Backend Staff Engineer,open,2021-05-27 18:15:20.848000,
1285324,Senior Mobile Engineer,closed,2020-02-06 08:53:58.829000,2021-01-27 06:43:34.647000
1299254,Inbound Sales Consultant (Capital),closed,2020-02-21 09:40:00.104000,2021-05-10 12:32:34.566000
1303055,Expansion Market Launcher ,closed,2020-02-26 08:36:38.114000,2021-05-19 09:32:44.168000
1268908,Sales Operations Lead,closed,2020-01-21 08:33:58.665000,2021-05-10 12:44:04.939000
1799919,Data Analytics Lead (Customer Operations),open,2021-04-23 13:47:59.203000,
1559791,Full-Stack Junior Software Engineer,closed,2021-01-19 19:10:29.385000,2021-01-27 06:40:52.304000
1583059,Customer Support Consultant 2021,closed,2021-01-30 09:12:35.180000,2021-05-10 12:20:15.753000
1316956,Senior Product UI Designer,closed,2020-03-11 16:01:37.135000,2021-05-12 09:57:19.082000
1300713,Quality Assessor,closed,2020-02-24 12:01:03.980000,2020-07-27 10:54:12.450000
1318079,Sales Jobs Template,draft,2020-03-12 16:02:00.798000,
1826174,People Data Analyst,open,2021-05-17 18:25:22.034000,
1282825,Lead Back-End Engineer,closed,2020-02-04 12:53:10.430000,2021-01-27 06:41:45.059000
1282719,Senior Front-End Software Engineer,closed,2020-02-04 09:38:27.048000,2021-01-27 06:43:19.693000
1828701,UX Writer - Product ,open,2021-05-19 09:00:52.125000,
1562421,Senior Backend Engineer - Merchant Account,open,2021-01-21 13:40:07.488000,
1303067,TechOps Engineer,open,2020-02-26 09:17:22.665000,
1733614,Tools & System Administrator,open,2021-02-25 15:56:27.859000,
1484071,Senior DevOps Engineer,closed,2020-11-18 08:43:07.740000,2021-05-12 10:02:17.020000
1671974,"Senior Product Designer, UX or UI",open,2021-02-12 13:51:18.388000,
1553559,Design Lead: Marketing & Communications,closed,2021-01-13 12:23:30.108000,2021-05-10 12:27:53.155000
1264191,Business Analyst (Regional Expansion),closed,2020-01-15 10:50:59.834000,2021-05-10 12:18:33.666000
1274680,Engineering Jobs Template,draft,2020-01-27 15:22:21.845000,
1318088,Sales Area Lead,closed,2020-03-12 16:09:52.382000,2021-05-10 12:44:39.840000
1828636,Product Design Manager (UX&UI),open,2021-05-19 07:25:16.796000,
1487978,Tech Lead (Native),open,2020-11-23 16:01:11.748000,
1285296,Senior Back-End Engineer,closed,2020-02-06 07:40:53.831000,2021-01-27 06:42:52.737000
1290973,Online Community Coordinator,closed,2020-02-12 15:06:30.643000,2021-05-10 12:42:40.669000
1764998,Technical Recruiter,open,2021-03-24 10:07:56.311000,
1721356,Senior Front End Engineer Generic,open,2021-02-17 17:03:23.356000,
1284176,Outbound Sales Representative,closed,2020-02-05 12:18:42.468000,2021-05-10 12:45:00.370000
1284231,Outbound Sales Representative,closed,2020-02-05 13:46:07.888000,2021-05-10 12:39:37.282000
1557936,Chief of Staff - Engineering,open,2021-01-16 10:56:18.955000,
1302363,Lead Data Engineer,closed,2020-02-25 17:47:03.451000,2021-05-10 12:38:02.096000
1305706,Outbound Sales Representative,closed,2020-02-28 15:53:53.110000,2021-05-10 12:38:56.545000
1810989,Anti-financial Crime Lead,open,2021-05-04 11:22:45.219000,
1284156,Continuous Innovation Specialist,closed,2020-02-05 11:08:53.361000,2021-05-10 12:19:28.648000
1268057,Head of Risk & Compliance,closed,2020-01-19 12:07:23.919000,2020-03-13 14:39:58.833000
1308063,Training Manager ,open,2020-03-03 11:05:13.977000,
1730731,User Researcher quantitative & qualitative,open,2021-02-23 17:50:06.207000,
1773497,Key Accounts Manager,open,2021-03-31 12:32:27.728000,
1288268,Customer Engagement Consultant (Open Day),closed,2020-02-10 14:21:39.623000,2020-12-02 11:51:42.672000
1650990,Retail Marketing Specialist,closed,2021-02-10 09:12:23.449000,2021-05-10 12:48:25.067000
1744688,Finance Data Analyst,closed,2021-03-08 13:59:58.055000,2021-05-26 10:04:32.754000
1268061,FP&A Lead ,closed,2020-01-19 13:08:39.149000,2021-05-10 12:31:28.276000
1490070,Tech Lead (App Team),open,2020-11-24 15:08:29.756000,
1274504,Paid Media Manager,closed,2020-01-27 11:20:46.308000,2021-05-10 12:45:41.396000
1792726,Generalist Recruiter,open,2021-04-17 08:10:50.957000,
1833559,Principal Back End Engineer (In-Person),open,2021-05-24 07:10:14.761000,
1768716,Engineering Lead - New Markets,open,2021-03-26 16:30:51.159000,
1288245,Designer (Brand),closed,2020-02-10 13:55:57.724000,2021-05-10 12:24:05.764000
1285372,Account Manager,closed,2020-02-06 09:58:42.486000,2021-05-10 12:15:26.167000
1557934,Engineering Manager,open,2021-01-16 10:42:14.599000,
1819410,Senior Customer Success Trainer,open,2021-05-11 12:26:37.904000,
1814471,Senior Data Modelling Specialist,open,2021-05-06 12:22:26.679000,
1285352,Lead Mobile Engineer,closed,2020-02-06 09:27:28.719000,2021-01-27 06:42:28.510000
1845510,Snr Salesforce Developer,open,2021-06-03 14:36:36.623000,
1518881,People Operations Administrator / Coordinator ,closed,2020-12-02 11:08:15.097000,2021-02-18 12:15:59.002000
1282707,Lead Front-End Software Engineer,closed,2020-02-04 09:16:26.451000,2021-01-27 06:41:59.655000
1796906,Technical Recruiter,closed,2021-04-21 16:47:25.359000,2021-05-20 18:17:27.081000
1264219,Retail Account Manager,closed,2020-01-15 11:48:26.045000,2020-02-19 13:48:53.378000
1773303,Product Marketing Manager ,open,2021-03-31 07:26:19.865000,
1799751,Customer Success Consultant,open,2021-04-23 10:08:41.612000,
1791578,Senior Marketing Manager,open,2021-04-16 12:05:45.039000,
1644205,Business Development Manager,closed,2021-02-09 15:02:55.020000,2021-03-29 09:09:59.641000
1827117,Recruitment Manager / Head of TA,open,2021-05-18 09:47:03.633000,
1643942,Supply Chain Analyst,closed,2021-02-09 14:12:44.161000,2021-05-12 09:59:26.270000
1292103,Senior Back-End Engineer,closed,2020-02-13 09:19:54.777000,2021-01-27 06:42:40.523000
1302351,Art Director/Senior Designer,closed,2020-02-25 17:39:46.303000,2021-05-10 12:16:00.507000
1338915,Prospect Post - Careers Page,open,2020-04-28 09:55:33.444000,
1320337,Expansion Product Manager,closed,2020-03-17 08:54:23.767000,2021-05-20 10:59:57.780000
1609600,Front-end Software Engineer,closed,2021-02-04 14:13:38.650000,2021-05-20 11:01:28.183000
1725067,OPERATIONAL RISK MANAGER  ,closed,2021-02-18 11:59:46.056000,2021-03-16 11:53:11.895000
1755387,Senior Financial Crime Specialist,closed,2021-03-16 11:54:21.851000,2021-05-04 11:21:35.548000
1553791,Growth Art Director,open,2021-01-13 16:12:09.628000,
1288183,Creative Team,closed,2020-02-10 12:15:00.814000,2020-03-17 11:31:30.841000
1518945,Head of People Operations,open,2020-12-02 11:43:20.051000,
1497118,Product Lead,closed,2020-11-26 12:15:52.076000,2021-05-10 12:46:47.615000
1282977,Inbound Sales Lead,closed,2020-02-04 15:15:05.647000,2020-02-18 17:15:57.557000
1814262,Salesforce Developer,open,2021-05-06 06:05:13.460000,
1760356,Senior Software Developer - Android,open,2021-03-19 11:54:53.362000,
1733629,Backend Software Engineer - First Mile Team,open,2021-02-25 16:08:35.593000,
1319034,Outbound Sales Representative,closed,2020-03-13 17:43:32.262000,2021-05-10 12:43:22.602000
1739664,DevOps Engineer,closed,2021-03-03 09:07:00.687000,2021-05-17 07:46:57.918000
1296925,Copywriter (Brand),closed,2020-02-19 13:59:09.203000,2021-03-18 13:12:09.853000
1518935,Talent Acquisition Lead,closed,2020-12-02 11:32:18.172000,2021-02-24 13:54:32.594000
1272962,Recruiter Trainer (Dummy Job),closed,2020-01-24 09:38:02.564000,2021-05-26 10:10:23.702000
1826140,Talent Sourcer,open,2021-05-17 18:06:21.144000,
1553536,Copywriter: Marketing & Communications,closed,2021-01-13 11:41:50.842000,2021-02-09 12:58:53.198000
1826150,Recruitment Coordinator,open,2021-05-17 18:10:11.849000,
1815883,Growth Talent Pipeline,open,2021-05-07 08:02:38.697000,
1543419,2021 Expansion Associate,closed,2021-01-05 07:32:32.577000,2021-03-08 14:13:47.083000
1462356,Product Analytics Lead,open,2020-10-22 12:16:42.192000,
1562436,Associate Software Engineer,closed,2021-01-21 13:49:36.526000,2021-05-10 12:16:48.788000
1721470, Senior Back End Engineer Generic,open,2021-02-17 17:07:17.737000,
1419928,UX Design Lead,open,2020-09-03 07:22:13.602000,
1292092,Lead Back-End Engineer,closed,2020-02-13 09:10:07.787000,2021-01-27 06:41:32.450000
1841442,Analytics Talent Pipeline,open,2021-05-31 11:03:45.983000,
